country,Region,SurfaceArea,Population,PopulationDensity,SexRatio,GDP,GDPGrowthRate,GDPPerCapita,EconomyAgriculture,EconomyIndustry,EconomyOther,Unemployment,Exports,Imports,PopulationGrowthRate,UrbanPopulation,UrbanPopulationGrowthRate
Iran (Islamic Republic of),SouthernAsia,1628750,81163,49.8,101.2,398563,0.4,5038.1,8.6,39.1,52.3,11.3,45627,35333,1.2,73.4,2.1
Iraq,WesternAsia,435052,38275,88.1,102.5,164234,-2.4,4509,4.6,58,37.4,16.1,27341,45831,3.2,69.5,3
Ireland,NorthernEurope,69797,4762,69.1,98.4,283716,26.3,60513.6,1,41.7,57.3,7.6,129315,76997,0.3,63.2,1.6
Isle of Man,NorthernEurope,572,84,147.9,98.2,-99,-99,-99,-99,-99,-99,2.6,-99,-99,0.8,52.2,0.8
Israel,WesternAsia,22072,8322,384.5,98.7,299413,2.5,37129.4,1.3,21.2,77.5,5.9,60571,65803,1.6,92.1,1.4
Italy,SouthernEurope,302073,59360,201.8,95.1,1821580,0.7,30462.4,2.2,23.5,74.2,11.4,461529,404578,-0.1,69,0.4
Jamaica,Caribbean,10990,2890,266.9,99,14262,1,5105.8,7.1,22.3,70.5,13.1,1202,4767,0.4,54.8,0.9
Japan,EasternAsia,377930,127484,349.7,95.4,4383076,1.2,34628.7,1.2,26.4,72.4,3,644932,606924,-0.1,93.5,0.6
Jordan,WesternAsia,89318,9702,109.3,102.6,37517,2.4,4940.1,4,27.7,68.4,13.4,7509,19207,4.9,83.7,3.8
Kazakhstan,CentralAsia,2724902,18204,6.7,93.9,181754,1.2,10312.1,5,32.5,62.5,5.6,36775,25175,1.6,53.2,0.9
Kenya,EasternAfrica,591958,49700,87.3,98.8,63399,5.6,1376.7,32,19,49,10.8,5688,14109,2.7,25.6,4.3
Kiribati,Micronesia,726,116,143.7,97.3,162,3.7,1442.9,24.1,13.6,62.2,0,3,116,1.8,44.3,1.8
Kuwait,WesternAsia,17818,4136,232.1,134.9,114054,1.8,29303.9,0.6,48.7,50.7,2.2,46238,30825,5.4,98.3,3.6
Kyrgyzstan,CentralAsia,199949,6045,31.5,98.4,6572,3.5,1106.4,15.4,25.9,58.7,7.7,1423,3844,1.6,35.7,1.6
Lao People's Democratic Republic,South-easternAsia,236800,6858,29.7,99.5,12585,7.6,1850.2,23.6,32.8,43.6,1.5,2066,4513,1.3,38.6,4.9
Latvia,NorthernEurope,64573,1950,31.3,84.9,27004,2.7,13704.1,3.2,23.3,73.5,9.6,11433,13596,-1.2,67.4,-0.7
Lebanon,WesternAsia,10452,6082,594.6,100.6,50149,1.5,8571.4,3.2,19.6,77.2,7,3402,20409,6,87.8,3.2
Lesotho,SouthernAfrica,30355,2233,73.6,94.4,2008,2.8,940.6,7.7,31.3,61,27.5,648,1727,1.3,27.3,3
Liberia,WesternAfrica,111369,4732,49.1,101.8,2053,0.3,455.9,70.8,11.4,17.9,4.1,641,727,2.6,49.7,3.4
Libya,NorthernAfrica,1676198,6375,3.6,101.7,34457,-10.2,5488.2,0.9,67.1,32,19.2,4615,8876,0.2,78.6,1.1
Liechtenstein,WesternEurope,160,38,237,98.4,6361,1.4,169491.8,0.7,40.1,59.2,2.6,-99,-99,0.8,14.3,0.5
Lithuania,NorthernEurope,65286,2890,46.1,85.4,41402,1.8,14383.7,3.6,29.8,66.5,9.2,25025,27501,-1.3,66.5,-0.5
Luxembourg,WesternEurope,2586,584,225.3,101,56802,3.5,100160.8,0.2,12.1,87.7,5.6,12838,19124,2.2,90.2,1.7
Madagascar,EasternAfrica,587295,25571,44,99.5,9739,3.1,401.8,24.9,18.4,56.7,2.3,2256,2965,2.7,35.1,4.7
Malawi,EasternAfrica,118484,18622,197.5,98.2,6420,3,372.9,26.1,16.6,57.3,6.8,875,1649,2.9,16.3,3.8
Malaysia,South-easternAsia,330323,31624,96.3,106.7,296284,5,9768.4,8.6,39.6,51.8,3.3,189414,168375,1.8,74.7,2.7
Maldives,SouthernAsia,300,436,1454.4,131.8,3435,2.8,9446.5,3.1,22,74.9,2.9,140,2128,2.8,45.5,4.5
Mali,WesternAfrica,1240192,18542,15.2,100.2,13100,7.6,744.3,39.9,19.6,40.5,8.1,3030,2510,2.9,39.9,5.1
Malta,SouthernEurope,315,431,1346.4,100.9,9747,6.2,23280.7,1.4,15,83.6,5.4,4039,7182,0.5,95.4,0.5
Marshall Islands,Micronesia,181,53,295.2,104.5,183,0.6,3452.6,16.4,10.2,73.3,4.7,27,86,0.2,72.7,0.6
Martinique,Caribbean,1128,385,363.1,83.5,-99,-99,-99,-99,-99,-99,22.8,-99,-99,-0.5,88.9,0.2
Mauritania,WesternAfrica,1030700,4420,4.3,101.6,5023,1.2,1235,20.9,41.7,37.4,12,1623,2174,2.9,59.9,3.5
Mauritius,EasternAfrica,1969,1265,623.2,97.9,11511,3.5,9040.9,2.9,22.7,74.4,7.6,2194,4655,0.2,39.7,-0.1
Mayotte,EasternAfrica,-99,253,674.8,96.7,-99,-99,-99,-99,-99,-99,-99,0,0,2.8,47,1.9
Mexico,CentralAmerica,1964375,129163,66.4,99.2,1140724,2.5,8980.9,3.6,36,60.4,4.1,373883,387064,1.4,79.2,1.6
Micronesia (Federated States of),Micronesia,702,106,150.8,105.1,315,3.7,3015.2,27.8,6.5,65.8,-99,6,40,0.2,22.4,0.3
Monaco,WesternEurope,2,39,25969.8,94.7,6258,5.4,165870.6,-99,13.4,86.6,0,-99,-99,0.6,100,0.8
Mongolia,EasternAsia,1564116,3076,2,97.9,11758,2.3,3973.4,14.8,34.1,51.1,6.3,4917,3358,1.9,72,2.8
Montenegro,SouthernEurope,13812,629,46.8,97.4,4020,4.5,6424.1,9.8,17.5,72.6,17.4,354,2263,0.1,64,0.3
Montserrat,Caribbean,103,5,51.8,106,59,0.4,11553.4,1.4,12.7,85.9,5.6,4,36,0.7,9,0.7
Morocco,NorthernAfrica,446550,35740,80.1,98.1,100359,4.4,2919.3,13.7,28.9,57.4,10.4,22858,41696,1.4,60.2,2.3
Mozambique,EasternAfrica,799380,29669,37.7,95.5,14806,6.6,529.2,24.6,21,54.4,24.1,3352,5295,2.9,32.2,3.3
Myanmar,South-easternAsia,676577,53371,81.7,95.5,62601,7.3,1161.5,26.7,34.5,38.7,0.8,11673,15696,0.9,34.1,2.5
Namibia,SouthernAfrica,824116,2534,3.1,94.7,11491,5.3,4673.6,6.6,30.6,62.8,24.9,4816,6721,2.2,46.7,4.2
Nauru,Micronesia,21,11,568,101.9,189,18.7,18469.2,3,59.9,37.1,23,-99,-99,2.3,100,0.2
Nepal,SouthernAsia,147181,29305,204.4,94.3,20658,2.7,724.5,31.8,14.9,53.3,3,703,5249,1.2,18.6,3.2
Netherlands,WesternEurope,41542,17036,505.2,99,750318,2,44332.1,1.8,20,78.2,5.6,511714,420969,0.3,90.5,1
New Caledonia,Melanesia,18575,276,15.1,101.5,8937,3.2,33965.7,1.4,26,72.6,15.1,1344,2422,1.4,70.2,2.2
